hscode_4,text,url
1905,麵包、糕餅、蛋糕、餅乾及其他烘製食品，不論是否含有可可；聖餐餅、盛裝藥物用之空囊、封緘糯米紙、米紙及其類似產品,tariffHScode.asp?code=1905
2001,以醋或醋酸調製或保藏之蔬菜、果實、堅果及其他植物可食部分,tariffHScode.asp?code=2001
2002,酸漬除外之調製或保藏番茄,tariffHScode.asp?code=2002
2003,酸漬除外之調製或保藏菇類及麥覃,tariffHScode.asp?code=2003
2004,酸漬除外之其他調製或保藏蔬菜，冷凍，第２００６節之產品除外,tariffHScode.asp?code=2004
2005,酸漬除外之其他調製或保藏蔬菜，未冷凍，第２００６節之產品除外,tariffHScode.asp?code=2005
2006,糖漬蔬菜、果實、堅果、果皮及植物之其他部分（瀝乾、套以糖衣、糖霜者均在內）,tariffHScode.asp?code=2006
2007,經熬煮所得之果醬、果凍、橘皮果凍、果實或堅果果泥及果實或堅果果糊，不論是否加糖或含其他甜味料,tariffHScode.asp?code=2007
2008,未列名經其他方式調製或保藏之果實、堅果及其他植物可食部分，不論是否加糖或含其他甜味料或酒,tariffHScode.asp?code=2008
2009,未發酵及未加酒精之果汁（包括葡萄汁在內）及蔬菜汁，不論是否加糖或含其他甜味料者,tariffHScode.asp?code=2009
2101,咖啡、茶或馬黛茶之萃取物、精、濃縮物及以咖啡、茶或馬黛茶之萃取物、精、濃縮物，或以咖啡、茶或馬黛茶為主要成分之調製品；焙製菊苣及其他焙製咖啡代用品及菊苣、咖啡代用品之萃取物、精、濃縮物,tariffHScode.asp?code=2101
2102,酵母（活性或非活性）；其他已死單細胞微生物（但不包括第３００２節之疫苗）；發粉,tariffHScode.asp?code=2102
2103,調味醬汁及其調製品；混合調味料,tariffHScode.asp?code=2103
2104,湯類及其調製品；均質混合調製品,tariffHScode.asp?code=2104
2105,冰淇淋及其他可食用冰，不論是否含可可者,tariffHScode.asp?code=2105
2106,未列名食物調製品,tariffHScode.asp?code=2106
2201,飲水，包括天然水或人造礦泉水及汽水（碳酸水），未含糖或其他甜味料及香料者；冰及雪,tariffHScode.asp?code=2201
2202,飲水，包括礦泉水及汽水（碳酸水），含糖或其他甜味料或香料及其他未含酒飲料，但不包括果汁或蔬菜汁（第２００９節）,tariffHScode.asp?code=2202
2203,啤酒，麥芽釀造,tariffHScode.asp?code=2203
2204,鮮葡萄酒（包括加強酒）；葡萄醪，第２００９節所指之葡萄汁除外,tariffHScode.asp?code=2204
2205,威米酒（苦艾酒）及加香料之其他鮮葡萄酒,tariffHScode.asp?code=2205
2206,其他釀造飲料（如蘋果酒、梨酒、蜂蜜酒）；未列名釀造飲料混合品或釀造飲料與未含酒精成分之飲料混合品,tariffHScode.asp?code=2206
2207,未變性之乙醇（酒精），酒精強度（以容積計）在８０％或以上者；已變性之乙醇（酒精）及其他酒精，任何酒精強度者,tariffHScode.asp?code=2207
2208,未變性之乙醇，其酒精強度以容積計低於８０％者；烈酒、利口酒及其他含酒精成分之飲料,tariffHScode.asp?code=2208
2209,醋及以醋酸製成之醋代用品,tariffHScode.asp?code=2209
2301,不適於人類食用之肉、雜碎、魚、甲殼類、軟體動物或其他水產無脊椎動物粉、粗粉及團粒；油渣,tariffHScode.asp?code=2301
2302,穀類或豆類植物經輾製與篩分後所剩餘之糠、麩皮及殘渣，不論是否呈團粒狀,tariffHScode.asp?code=2302
2303,澱粉製品之殘渣及類似殘渣、甜菜渣、甘蔗渣及製糖之其他殘渣、釀造或蒸餾之糟粕，不論是否呈團粒狀,tariffHScode.asp?code=2303
2304,提煉黃豆油所產之油渣餅及其他固體殘渣，無論是否磨碎或呈團粒狀,tariffHScode.asp?code=2304
2305,提煉花生油所產之油渣餅及其他固體殘渣物，無論是否磨碎或呈團粒狀,tariffHScode.asp?code=2305
2306,提煉植物油脂所產之油渣餅及其他固體殘渣物，無論是否磨碎或呈團粒狀（第２３０４或２３０５節者除外）,tariffHScode.asp?code=2306
2307,酒糟、酒石,tariffHScode.asp?code=2307
2308,作為動物飼料用之未列名植物材料與廢料、殘渣及副產品，無論是否呈團粒狀,tariffHScode.asp?code=2308
2309,調製動物飼料,tariffHScode.asp?code=2309
2401,原料菸葉；菸葉下腳,tariffHScode.asp?code=2401
2402,菸葉或菸葉代用品所製之雪茄菸、呂宋菸、小雪茄菸及紙菸,tariffHScode.asp?code=2402
2403,其他加工菸葉及菸葉代用製品－包括「均質」或「複合」之菸葉；菸葉成分抽出物及菸精,tariffHScode.asp?code=2403
2501,鹽（包括食鹽及加工鹽）及純氯化納，不論是否為水溶液或添加抗結塊劑或暢流劑之鹽；海水,tariffHScode.asp?code=2501
2502,未焙燒硫化鐵礦,tariffHScode.asp?code=2502
2503,昇華、沈澱及膠狀硫磺以外之其他各種硫磺,tariffHScode.asp?code=2503
2504,天然石墨,tariffHScode.asp?code=2504
2505,各種天然砂（第二十六章之含金屬之砂除外），不論是否著色,tariffHScode.asp?code=2505
2506,石英（天然砂除外）；石英岩，不論是否用鋸或其他方法略加修整切割成長方型（包括方型）板塊,tariffHScode.asp?code=2506
2507,高嶺土及其他高嶺土質黏土，不論已否?燒,tariffHScode.asp?code=2507
2508,其他黏土（不包括第６８０６節之已膨脹黏土），紅柱石，藍晶石及矽線石，已否?燒者在內；富鋁紅柱石；燒磨土（燒粉）及第納斯土,tariffHScode.asp?code=2508
2509,白堊,tariffHScode.asp?code=2509
2510,天然磷酸鈣、天然磷酸鋁鈣及磷酸鹽白堊,tariffHScode.asp?code=2510
2511,天然硫酸鋇（重晶石），天然碳酸鋇（毒重石），不論是否?燒，但第２８１６節之氧化鋇不在內,tariffHScode.asp?code=2511
2512,矽質化石粉（例如矽藻土）及類似矽質土，不論是否?燒，其視比重不超過１者,tariffHScode.asp?code=2512
2513,浮石；金剛砂；天然鋼玉（石）；天然柘榴石及其他天然研磨料，已否經熱處理者均在內,tariffHScode.asp?code=2513
2514,板岩，不論是否用鋸或其他方法略加修整切割成長方形（包括方形）板塊,tariffHScode.asp?code=2514
2515,大理石、石灰華、石灰石及其他石灰質紀念碑用或建築用石，其視比重為２?５或以上者，以及雪花石膏，不論是否用鋸或其他方法略加修整切割成長方形（包括方形）板塊,tariffHScode.asp?code=2515
2516,花崗岩、斑岩、玄武岩、砂岩及其他紀念碑或建築用石，不論是否用鋸或其他方法粗切成長方形（包括方形）之板塊,tariffHScode.asp?code=2516
2517,混凝土用，築路或鐵路用及其他路基用卵石、礫石、碎石、海濱沙石（巨礫）及火石（燧石），不論是否加熱處理；舖路碎石或熔渣或類似工業廢料，不論是否與號列別第一部分所列之材料混合；加瀝青舖路碎石；石粒、細碎石及石粉，列入第２５１５或２５１６節，不論是否經加熱處理,tariffHScode.asp?code=2517
2518,白雲石，不論其是否?燒或燒結，其包括用鋸或其他方法略加修整切割成長方形（包括方形）板或塊狀之白雲石；白雲石搪爐混合料,tariffHScode.asp?code=2518
2519,天然碳酸鎂（菱鎂礦）；熔結氧化鎂；僵燒（燒結）氧化鎂，不論燒結前是否加有少量其他氧化物；其他氧化鎂，不論是否純粹,tariffHScode.asp?code=2519
2520,石膏；無水石膏（硬石膏）；熟石膏（由焙製石膏或硫酸鈣組成），不論是否著色或加入少量速凝劑或緩凝劑,tariffHScode.asp?code=2520
2521,助熔用石灰石；供製造石灰或水泥用石灰石及其他鈣質石,tariffHScode.asp?code=2521
